Project,Unit ID,Contract Date,Bedrooms,Covered Area,Covered Veranda,Total Covered,Contract Amount,m²,Latitude,Longitude,Market Segment
Limassol Greens,37,05/07/24,5,248,64,312,"1,800,000","5,769",34.644979,32.977234,Upscale
Limassol Greens,39,17/07/24,4,228,55,283,"1,555,000","5,495",34.644979,32.977234,Upscale
Limassol Greens,89,14/06/24,4,230,55,285,"1,500,000","5,263",34.644979,32.977234,Upscale
Limassol Greens,86,26/09/24,3,198,51,249,"1,350,500","5,424",34.644979,32.977234,Upscale
Limassol Greens,43,18/09/24,4,233,55,288,"1,881,000","6,531",34.644979,32.977234,Upscale
Limassol Greens,37,20/03/24,5,248,64,312,"1,800,000","5,769",34.644979,32.977234,Upscale
Limassol Greens,49,08/05/24,4,228,53,281,"1,850,000","6,584",34.644979,32.977234,Upscale
Poseidon Grand,UV 08,24/04/24,4,282.8,35.5,318.3,"2,090,000","6,566",34.678074,32.608842,Luxury
Limassol Marina Villas,80,21/03/22,4,288,38,326,"6,000,000","18,405",34.668152,33.037043,Luxury
Limassol Marina Villas,14,09/06/23,4,270,25,295,"4,260,000","14,441",34.668152,33.037043,Luxury
Limassol Marina Villas,7,21/07/22,4,270,30,300,"4,000,000","13,333",34.668152,33.037043,Luxury
Limassol Marina Villas,16,08/04/22,4,270,23,293,"3,600,000","12,287",34.668152,33.037043,Luxury
Limassol Marina Villas,46,12/10/22,3,228,12,240,"2,775,000","11,563",34.668152,33.037043,Luxury
Limassol Marina Villas,21,26/10/22,3,232,12,244,"2,450,000","10,041",34.668152,33.037043,Luxury
Private Villas (Resale),,13/05/24,,327,26,353,"5,800,000","16,431",34.714963,33.151116,Luxury
Halcyon,,29/10/24,,470,76,546,"5,000,000","9,158",34.713407,33.153586,Luxury
Halcyon,,30/01/23,,661,102,763,"11,500,000","15,072",34.713407,33.153586,Luxury
Halcyon,,14/04/25,,421,69,490,"10,100,000","20,612",34.713407,33.153586,Luxury
Halcyon,,25/04/23,,505,79,584,"8,000,000","13,699",34.713407,33.153586,Luxury
